key,code,moment,start-sponsor,end-sponsor,amount,type,email,link,key:project
sponsorship-01,A-000,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,EUR 10.00,Financial,usuario1@acme.com,https://example.com/objective,project-01
sponsorship-02,AB-555,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,EUR 10.00,Financial,usuario2@acme.com,https://example.com/objective,project-01
sponsorship-03,ZZZ-999,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,EUR 10.00,Financial,usuario3@acme.com,https://example.com/objective,project-01
sponsorship-04,ABC-001,2000/01/01 00:00,2000/01/01 00:01,2000/01/01 01:00,EUR 10.00,Financial,usuario4@acme.com,https://example.com/objective,project-01
sponsorship-05,ABC-002,2000/01/01 01:00,2000/01/01 01:01,2000/01/01 02:00,EUR 10.00,Financial,usuario5@acme.com,https://example.com/objective,project-01
sponsorship-06,ABC-003,2022/07/29 00:00,2022/07/29 00:01,2022/07/29 01:00,EUR 10.00,Financial,usuario6@acme.com,https://example.com/objective,project-01
sponsorship-07,ABC-004,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 00:01,EUR 10.00,Financial,usuario7@acme.com,https://example.com/objective,project-01
sponsorship-08,ABC-005,2022/07/29 23:59,2022/07/30 00:00,2022/08/14 00:00,EUR 10.00,Financial,usuario8@acme.com,https://example.com/objective,project-01
sponsorship-09,ABC-006,2022/07/29 23:59,2022/07/30 00:00,2022/08/29 23:59,EUR 10.00,Financial,usuario9@acme.com,https://example.com/objective,project-01
sponsorship-10,ABC-007,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,EUR 00.01,Financial,usuario10@acme.com,https://example.com/objective,project-01
sponsorship-11,ABC-008,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,EUR 05.31,Financial,usuario11@acme.com,https://example.com/objective,project-01
sponsorship-12,ABC-009,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,USD 5000.0,Financial,usuario12@acme.com,https://example.com/objective,project-01
sponsorship-13,ABC-010,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,"GBP 954,134.00",Financial,usuario13@acme.com,https://example.com/objective,project-01
sponsorship-14,ABC-011,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,EUR 10.0,Financial,usuario14@acme.com,https://example.com/objective,project-01
sponsorship-15,ABC-012,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,EUR 10.0,In_kind,usuario15@acme.com,https://example.com/objective,project-01
sponsorship-16,ABC-013,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,EUR 10.0,Financial,usuario16@acme.com,https://example.com/objective,project-01
sponsorship-17,ABC-014,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,EUR 10.0,Financial,,https://example.com/objective,project-01
sponsorship-18,ABC-015,2022/07/29 23:59,2022/07/30 00:00,2022/07/30 12:00,EUR 10.0,Financial,usuario17@acme.com,,project-01
